title,year,genre,duration
Il carrettiere della morte,1921,Drama,107
Leap Year,1924,Comedy,56
Little Lord Fauntleroy,1921,Drama,112
The Love Light,1921,Drama,89
Miss Lulu Bett,1921,Comedy,71
My Boy,1921,Comedy,55
Destino,1921,Drama,97
The Nut,1921,Action,74
Le due orfanelle,1921,Drama,150
Outside the Law,1920,Crime,75
Rojô no reikion,1921,Drama,91
A Sailor-Made Man,1921,Comedy,47
Sappho,1921,Drama,82
Scherben,1921,Drama,50
Il castello di Vogelod,1921,Crime,75
Lo sceicco,1921,Adventure,86
The Sky Pilot,1921,Drama,77
La terre,1921,Drama,97
The Three Musketeers,1921,Action,119
Through the Back Door,1921,Comedy,89
La pazienza di Davide,1921,Drama,99
Too Wise Wives,1921,Drama,80
Vier um die Frau,1921,Drama,52
Beauty's Worth,1922,Drama,112
L'età di amare,1922,Drama,80
Sangue e arena,1922,Drama,80
La terra che brucia,1922,Drama,98
The Bride's Play,1922,Romance,70
Crainquebille,1922,Drama,90
Der var engang,1922,Drama,75
Dr. Jack,1922,Comedy,60
Down to the Sea in Ships,1922,Adventure,83
La femme de nulle part,1922,Drama,61
Flesh and Blood,1922,Drama,74
Femmine folli,1922,Drama,117
Gli stigmatizzati,1922,Drama,105
Il talismano della nonna,1922,Comedy,60
The Headless Horseman,1922,Comedy,68
Lorna Doone,1922,Drama,70
The Man from Beyond,1922,Mystery,74
Manslaughter,1922,Drama,100
Donne viennesi,1923,Drama,110
Monte Cristo,1922,Drama,100
Moran of the Lady Letty,1922,Adventure,68
Nathan il saggio,1922,Drama,86
Nosferatu - Il vampiro,1922,Fantasy,94
Oliver Twist,1922,Drama,98
Othello,1922,Drama,79
Fantasma,1922,Drama,125
The Prisoner of Zenda,1922,Adventure,125
Robin Hood,1922,Adventure,143
Salomé,1922,Biography,72
Saturday Night,1922,Comedy,90
Ombre ammonitrici,1923,Drama,90
The Seventh Day,1922,Drama,60
Shadows,1922,Drama,70
Sherlock Holmes,1922,Drama,85
Sky High,1922,Action,58
Sodom und Gomorrha,1922,Drama,150
Tess of the Storm Country,1922,Drama,137
The Three Must-Get-Theres,1922,Action,58
The Toll of the Sea,1922,Drama,54
The Trap,1922,Drama,60
Trapped by the Mormons,1922,Drama,97
Das Weib des Pharao,1922,Drama,100
When Knighthood Was in Flower,1922,Romance,120
The Young Rajah,1922,Romance,54
Das alte Gesetz,1923,Drama,128
Ladro d'amore,1923,Drama,70
Cuore fedele,1923,Drama,87
I pionieri,1923,Adventure,98
